dc.title,dc.contributor.author,dc.contributor,dc.contributor.editor,dc.subject.frascati,dc.subject.free,dc.description,dc.publisher,dc.date,dc.type,Orfeo.peerreviewed,dc.identifier.isbn,dc.identifier.issn,dc.identifier.publisherlink,dc.identifier.doi,dc.identifier.isi,dc.identifier.pubmed,dc.identifier.url,dc.identifier.scopus,dc.identifier.worldcat,dc.identifier.limo,dc.identifier.depositnumber,dc.source.title,dc.source.volume,dc.source.issue,dc.source.page,dc.relation.ispartofseries,dc.identifier.citation,dc.language,dc.relation.project,dc.audience,dc.coverage.spatial,dc.coverage.temporal,file
"Getting guns out when culture is in.","Leduc-Grimaldi, M.","","","","History & politics","","African Studies Association","2009","Colloque et congrès scientifique","yes","","","","","","","","","","","","Africa at a Crossroads, 17-20/11/2009","","","","","","EN","","Scientifique","","",""
"Hiérarchies en 'vases-clos'. Parrains et marginaux dans les réseaux du commerce de terres cuites anciennes du Baniko (Mali)","Panella, C.","","","","Culture & Society","","Université Paris 7-Diderot/Inalco/Université de Lyon","2009","Colloque et congrès scientifique","yes","","","","","","","","","","","","La fabrique des savoirs en Afrique subsaharienne. Acteurs, lieux et usages dans la longue durée, 13-15/5","","","","","","FR","","Scientifique","","",""
"Said He: traducteurs, interprètes et autres truchements au secours des voyageurs en Afrique équatoriale »; Colloque L","Leduc-Grimaldi, M.","","","","History & politics","","Université Diderot Paris 7","2009","Colloque et congrès scientifique","yes","","","","","","","","","","","","La fabrique des savoirs en Afrique, 13-15/05/2009","","","","","","FR","","Scientifique","","",""
"DNA barcoding and mini-barcoding for molecular identification of Diptera.","Virgilio, M.||De Meyer, M.||Gessmallah, A.E.||Nevado, B.||Backeljau, T.","","","","Invertebrates","","","2009","Colloque et congrès scientifique","no","","","","","","","","","","","","3rd International Barcode of Life Conference, Mexico City","","","191-192","","","EN","","Scientifique","","",""
"DNA barcoding of European Accipiter and their African relatives.","Van Houdt, J.||Sonet, G.||Reygel, A.||De Meyer , M.||Louette, M.||Breman, F.C.","","","","Invertebrates||Vertebrates","","","2009","Colloque et congrès scientifique","no","","","","","","","","","","","","3rd International Barcode of Life Conference, Mexico City","","","172","","","EN","","Scientifique","","",""
"Performance of DNA barcoding for insect identification.","Virgilio, M.||Backeljau, T.||Nevado, B.||De Meyer, M.","","","","Invertebrates","","","2009","Colloque et congrès scientifique","no","","","","","","","","","","","","3rd International Barcode of Life Conference, Mexico City","","","140","","","EN","","Scientifique","","",""
"DNA barcoding and mini-barcoding for the molecular identification of tephritid fruit flies (Diptera: Tephritidae).","Gessmallah, A.E.||Virgilio, M.||De Meyer, M.||Backeljau, T.||Bashir, N.H.H||Elkashif , M.E.||Assad, Y.O.H","","","","Invertebrates","","","2009","Colloque et congrès scientifique","no","","","","","","","","","","","","African Association of Insect Scientists 18th Biennial Meeting (Ouagadougou, Burkina Faso)","","","","","","EN","","Scientifique","","",""
"Résultats préliminaires de létude géochimique du batholite de lAmsel (LATEA, Hoggar, Algérie)","Talmat, S.B.||Liégeois, J.P.||Ouabadi, A.","","","","Geodynamics and mineral resources","","","2009","Colloque et congrès scientifique","no","","","","","","","","","","","","Journées scientifiques. FSTGAT","","","","","","FR","","Scientifique","","",""
"The Solanum fruit fly, Bactrocera latifrons, in Africa: its origin, distribution, host plant specificity and interspecific competition in Tanzania.","De Meyer, M.","","","","Invertebrates","","","2009","Article scientifique non peer reviewed","no","","","","","","","","","","","","Insect Pest Control Newsletter","73","","36","","","EN","","Scientifique","","",""
"Fruit fly taxonomy and identification. ","Billah, M.||Mansell, M.||De Meyer , M.||Goergen, G.","","Ekesi, S. & M. Billah ","","Invertebrates","","","2009","Article scientifique non peer reviewed","no","","","","","","","","","","","","A field guide to the management of economically important tephritid fruit flies in Africa. International Centre of Insect Physiology and Ecology, Nairobi","","","H1-H32","","","EN","","Scientifique","","",""
"An overview of Bactrocera (Diptera: Tephritidae) invasions and their speculated dominancy over native fly species in Tanzania.","Mwatawala, M.W.||De Meyer, M.||Makundi, R.H.||Maerere, A.P.","","","","Invertebrates","","","2009","Article scientifique non peer reviewed","no","","","","","","","","","","","","Journal of Entomology","6","","18-27","","","EN","","Scientifique","","",""
"Le génocide des Tutsi et les meurtres politiques au Rwanda en 1994","de Lame, d.","","","","Culture & Society","","Centre d'Etudes des Relations Internationales (CERI)","2009","Colloque et congrès scientifique","no","","","","","","","","","","","","thème: Encyclopédie en ligne des violences de masse, 7/4","","","","","","FR","","Scientifique","","",""
"Réflexions sur la bureaucratisation de la recherche "belge"","de Lame, D.","","","","Culture & Society","","Centre d'Etude des Relations Internationales/Paris I Panthéon-Sorbonne","2009","Colloque et congrès scientifique","no","","","","","","","","","","","","La bureaucratisation de la recherche, 5-6/2","","","","","","FR","","Scientifique","","",""
"Successive cambia in three dimensions: the mangrove Avicennia inside","Robert, E.M.||Schmitz, N.||Beeckman, H.||Koedam, N.","","","","Wood biology","","","2009","Colloque et congrès scientifique","no","","","","","","","","","","","","Impacts of global change on tropical ecosystems, 27-30/7/2009, Marburg, Germany","","","","","","EN","","Scientifique","","",""
"Successive cambia in three dimensions: the mangrove Avicennia inside","Robert, E.M.||Koedam, N.||Beeckman, H.||Schmitz, N.","","","","Wood biology","","","2009","Colloque et congrès scientifique","no","","","","","","","","","","","","African Botany in Brussels, 27/3/2009, Brussel, België","","","","","","EN","","Scientifique","","",""
"Successive cambia in three dimensions: the mangrove Avicennia inside","Robert, E.M.||Koedam, N.||Beeckman, H.||Schmitz, N.","","","","Wood biology","","","2009","Colloque et congrès scientifique","no","","","","","","","","","","","","Startersdag voor Bosonderzoekers 2009, 19/3/2009, Brussel, België","","","","","","EN","","Scientifique","","",""
"Ecological significance of wood anatomical variation in Kenyan mangroves","Schmitz, N.||Beeckman, H.||Koedam, N.","","","","Wood biology","","","2009","Colloque et congrès scientifique","no","","","","","","","","","","","","Joint Annual Meeting ATBC-gtö, Impacts of global change on tropical ecosystems, 27-30/7/2009, Marburg, Germany","","","","","","EN","","Scientifique","","",""
"Successive cambia in three dimensions: the mangrove Avicennia inside","Robert, E.M.||Koedam, N.||Beeckman, H.||Schmitz, N.","","","","Wood biology","","","2009","Colloque et congrès scientifique","no","","","","","","","","","","","","TRACE (Tree Rings in Archaeology, Climatology and Ecology), 16-19/4/2009, Otocec, Slovenia","","","","","","EN","","Scientifique","","",""
"Hydraulic architecture of mangroves: towards an understanding of water transport under intertidal conditions","Schmitz, N.||Beeckman, H.||Koedam, N.","","","","Wood biology","","","2009","Colloque et congrès scientifique","no","","","","","","","","","","","","African Botany in Brussels, march 27, 2009","","","","","","EN","Water pathways in trees ( RMCA )","Scientifique","","",""
"Expertise museologie voor Provinciaal Domein "Het Leen"","Beeckman, H.","","","","Wood biology","","","2009","Rapport","no","","","","","","","","","","","","","","","1","","","NL","","Scientifique","","","http://www.africamuseum.be/publication_docs/expertise - het leen - eik spint bast - 23 september 2009.doc::accessrights:public access"
"Réforme au Congo: Attentes et désillusions.","Trefon, T.","","","","Geodynamics and mineral resources","","KMMA-MRAC/L'Harmattan","2009","Ouvrage peer reviewed","yes","978-2-296-10204-0","","","","","","","","","","","","n° 76","","275","Cahiers Africains","","FR","","Scientifique","","",""
"Under the Friendly Glance of Community, a Methodological Search for Social Strategies. Panel abstract","de Lame, D.","","","","Culture & Society","","African Studies Association (ASA)","2009","Colloque et congrès scientifique","yes","","","","","","","","","","","","Africa at a Crossroads, 19-22/11","","","","","","EN","","Scientifique","","",""
"Expertiseverslag identificatie commercieel hout; opdrachtgever: Satimex bvba","Beeckman, H.","","","","Wood biology","","","2009","Rapport","no","","","","","","","","","","","","","","","1","","","NL","","Scientifique","","","http://www.africamuseum.be/publication_docs/expertise - Satimex bvba batu-Vietnam - 9 december 2009.doc::accessrights:public access"
"Expertiseverslag identificatie commercieel hout; opdrachtgever: Satimex bvba","Beeckman, H.","","","","Wood biology","","","2009","Rapport","no","","","","","","","","","","","","","","","1","","","NL","","Scientifique","","","http://www.africamuseum.be/publication_docs/expertise - Satimex bvba Swintonia - 28 september 2009.doc::accessrights:public access"
"Expertiseverslag identificatie commercieel hout; opdrachtgever: Van Looy Sport","Beeckman, H.","","","","Wood biology","","","2009","Rapport","no","","","","","","","","","","","","","","","1","","","NL","","Scientifique","","","http://www.africamuseum.be/publication_docs/expertise - Van Looy Sport - 3 september 2009.doc::accessrights:public access"
"Expertiseverslag identificatie commercieel hout; opdrachtgever: Martin Schoukens","Beeckman, H.","","","","Wood biology","","","2009","Rapport","no","","","","","","","","","","","","","","","1","","","NL","","Scientifique","","","http://www.africamuseum.be/publication_docs/expertise - Martin Schoukens - 9 december 2009.doc::accessrights:public access"
"Expertiseverslag dendrochronologische datering; opdrachtgever: W.S.L.-Zwitserland","Beeckman, H.","","","","Wood biology","","","2009","Rapport","no","","","","","","","","","","","","","","","3","","","NL","","Scientifique","","","http://www.africamuseum.be/publication_docs/expertise - turi humbel - santorini olea - 31 maart 2009.doc::accessrights:public access"
"Expertiseverslag identificatie hout (etnografisch); opdrachtgever: De Beus","Beeckman, H.","","","","Wood biology","","","2009","Rapport","no","","","","","","","","","","","","","","","1","","","NL","","Scientifique","","","http://www.africamuseum.be/publication_docs/expertise - De Beus Fangmasker - 22 april 2009.doc::accessrights:public access"
"Expertiseverslag identificatie hout (kunsthistorisch); opdrachtgever: Koninklijk Instituut voor het Kunstpatrimonium","Beeckman, H.","","","","Wood biology","","","2009","Rapport","no","","","","","","","","","","","","","","","1","","","NL","","Scientifique","","","http://www.africamuseum.be/publication_docs/expertise - KIK - 2 februari 2009.doc::accessrights:public access"
"Expertiseverslag identificatie hout (kunsthistorisch); opdrachtgever: Koninklijk Museum voor Schone Kunsten Antwerpen","Beeckman, H.","","","","Wood biology","","","2009","Rapport","no","","","","","","","","","","","","","","","1","","","NL","","Scientifique","","","http://www.africamuseum.be/publication_docs/expertise - KMSKA Antonello da Messina - 28 augustus 2009.doc::accessrights:public access||http://www.africamuseum.be/publication_docs/expertise - KMSKA - foto maceratiepreparaat hout - 28 augustus 2009.ppt::accessrights:public access"
"Economies de genre et relations de dette: orpaillage et sécurité alimentaire dans le Basidibé","Panella, C.","","","","Culture & Society","","Workshop de préparation du projet WOTRO","2009","Colloque et congrès scientifique","no","","","","","","","","","","","","A World of Debts. Gold Mining Sites as Fields of Cohabitation in Francophone West Africa, 19-20/1","","","","","","FR","","Scientifique","","",""
"L'estetica del quotidiano. Memoria di Stato, corporalità ed economie di sopravvivenza tra gli scultori della Maison des Artisans di Bamako (Mali) ","Panella, C.","","","","Culture & Society","","Département d'Anthropologie Culturelle de l'Université "La Sapienza"","2009","Colloque et congrès scientifique","yes","","","","","","","","","","","","Prospettive di studi africanistici in Italia. Convegno in memoria di Bernardo Bernardi, 5-7/3","","","","","","FR","","Scientifique","","",""
"Cultural Heritage at the Margins. The Wood-carvers of the 'Maison des Artisans' in Bamako (Mail) between Reification and Survival Economies","Panella, C.","","","","Culture & Society","","Africa-Europe Group for Interdisciplinary Studies (AEGIS)","2009","Colloque et congrès scientifique","yes","","","","","","","","","","","","Respacing Africa, 4-7/7","","","","","","EN","","Scientifique","","",""
"Heroes and Looters as "imagined communities". The Creation of Illegality in the Rhetoric of Malian Cultural Heritage: Narratives from the Margin","Panella, C.","","","","Culture & Society","","African Studies Association (ASA)","2009","Colloque et congrès scientifique","yes","","","","","","","","","","","","Africa at a Crossroads, 17-20/11","","","","","","EN","","Scientifique","","",""
"CR. C. Andrieu &amp; S. Gensburger. La résistance aux génocides. De la pluralité des actes de sauvetage (www.massviolence.org)","de Lame, D.","","","","Culture & Society","","","2009","Article scientifique non peer reviewed","no","","","","","","","www.histoire-politique.fr / www.massviolence.org","","","","","Histoire@Politique, n° 9","","","","","","FR","","Scientifique","","",""
"Dossier. Dans les plis de la structuration coloniale: ombres et délinquances ","de Lame, D.","","de Lame, D.","","Culture & Society","","CEMAF (Université Paris I)/Verdier","2009","Ouvrage peer reviewed","yes","","","","","","","","","","","","","7","","15-132","Afrique et histoire","","FR","","Scientifique","","",""
"Cours d'anatomie et propriétés des bois tropicaux","Beeckman, H.||Ntahobavuka, H.||Toirambe, B.","","","","Wood biology","","","2009","Document pédagogique","no","","","","","","","","","","","","","","","130","","","FR","","Educational","","",""
"Inventaire faunistique et taxonomie des psylles du genre Pauropsylla (Hemiptera, Psylloidea, Triozidae) ravageurs des plantes au Cameroun.","Tamesse, J. L.||Burckhardt, D.||Dzokou, V. J.||Yana, W.||Ndankeu, Y. P.||De Coninck, E.","","","","Biological collection and data management","","","2009","Colloque et congrès scientifique","no","","","","","","","","","","","","18ème Conférence de lAssociation Africaine des Entomologistes ","","","72","","","FR","","Scientifique","","",""
"Seasonal and spatial variations of silicon isotopes in large tropical rivers","Hughes, H.||Cardinal, D.||Sondag, F.||Bouillon, S.||Borges, A.V.||André, L.","","","","Surface environments and collection management","Here we present the first large dataset of dissolved silicon isotopes signatures (&#948;30Si) in different tropical rivers, including the Amazon and the Congo, the two largest silicon suppliers to the ocean. A one-year-long monthly series is presented for the Congo River, upstream from the Kinshasa/Brazzaville urban zone. Spatial and temporal variations in the Amazon River and its main tributaries have been studied. Both Congo and Amazon convey similar mean &#948;30Si signatures (close to +0.8) to the ocean, in the range of previously published values. The Congo River exhibits limited seasonal variations, with the exception of some large &#948;30Si variations that seem related to the presence of high biogenic silicon content in the water column. This could be due to diatom activities at the level of the Pool Malebo, a lake-like widening in the lower reaches of the Congo River upstream of Brazzaville. In contrast, other rivers such as the Mekong (Vietnam) and the Tana (Kenya) can exhibit much higher &#948;30Si values of up to +2. These differences may be linked to different parameters including higher weathering rate and human impact.","","2009","Colloque et congrès scientifique","no","","","","","","","","","","","","ASLO meeting","","","","","","EN","","Scientifique","","",""
"Seasonal and spatial variations of silicon isotopes in large tropical rivers","Hughes, H.||Cardinal, D.||Sondag, F.||Cocquyt, C.||Bouillon, S.||Borges, A.V.||Pandi, A.||André, L.","","","","Surface environments and collection management","We present the first large dataset of dissolved silicon isotopes signatures (&#948;30Si) in different tropical rivers, including the Amazon and the Congo, the two largest silicon suppliers to the world ocean. A two-years long monthly series was obtained in the Congo River, upstream of the Kinshasa/Brazzaville urban zone. Spatial and temporal variations in the Amazon River and its main tributaries were studied for one year. Both the Congo and Amazon rivers convey similar mean &#948;30Si signatures to the ocean (close to +0.8), in the range of the few previously published data for those rivers. The Congo River exhibits limited seasonal variations, with the exception of some large &#948;30Si variations that seem related to the presence of high biogenic silicon content. In contrast, other rivers such as the Mekong (Vietnam) and the Tana (Kenya) can exhibit much heavier &#948;30Si values of up to +2. The lightest &#948;30Si (close to 0) are observed in the Congo tributaries characterized by high organic content (black rivers).When comparing data across these different tropical rivers, we observe a strong correlation between &#948;30Si and pH that could reflect the link between Si isotopic fractionation and different processes including rock weathering and clays formation and dissolution.","","2009","Colloque et congrès scientifique","no","","","","","","","","","","","","Third scientific meeting of the Hybam Observatory on amazonian rivers","","","","","","EN","","Scientifique","","",""
"Seasonal and spatial variations of silicon isotopes in large tropical rivers","Hughes, H.||Cardinal, D.||Cocquyt, C.||Bouillon, S.||Borges, A.V.||Pandi, A.||André, L.","","","","Surface environments and collection management","We present the first large dataset of dissolved silicon isotopes signatures (&#948;30Si) in different tropical rivers, including the Amazon and the Congo, the two largest silicon suppliers to the world ocean. A two-years long monthly series was obtained in the Congo River, upstream of the Kinshasa/Brazzaville urban zone. Spatial and temporal variations in the Amazon River and its main tributaries were studied for one year. Both the Congo and Amazon rivers convey similar mean &#948;30Si signatures to the ocean (close to +0.8), in the range of the few previously published data for those rivers. The Congo River exhibits limited seasonal variations, with the exception of some large &#948;30Si variations that seem related to the presence of high biogenic silicon content. This could be due to assimilation by diatoms in Pool Malebo, a lake-like widening in the lower reaches of the Congo River upstream of Brazzaville. In contrast, other rivers such as the Mekong (Vietnam) and the Tana (Kenya) can exhibit much heavier &#948;30Si values of up to +2. The lightest &#948;30Si (close to 0) are observed in the Congo tributaries characterized by high organic content (black rivers).When comparing data across these different tropical rivers, we observe a strong correlation between &#948;30Si and pH that could reflect the link between Si isotopic fractionation and different processes including rock weathering and clays formation and dissolution.","","2009","Colloque et congrès scientifique","no","","","","","","","","","","","","First World Young Earth-Scientists Congress","","","","","","EN","","Scientifique","","",""
"Expertiseverslag identificatie commercieel hout; opdrachtgever: Agemap nv (Sodefor)","Beeckman, H.","","","","Wood biology","","","2009","Rapport","no","","","","","","","","","","","","","","","1","","","NL","","Scientifique","","","http://www.africamuseum.be/publication_docs/expertise - Agemap nv Sodefor - 13 januari 2009.doc::accessrights:public access||http://www.africamuseum.be/publication_docs/expertise - Echantillon Sodefor - 13 januari 2009.ppt::accessrights:public access"
"Expertiseverslag identificatie commercieel hout; opdrachtgever: Amanowood","Beeckman, H.","","","","Wood biology","","","2009","Rapport","no","","","","","","","","","","","","","","","1","","","NL","","Scientifique","","","http://www.africamuseum.be/publication_docs/expertise - Amanowood  Indisch palissander - 9 mei 2009.doc::accessrights:public access"
"Expertiseverslag identificatie commercieel hout; opdrachtgever: Indufor nv","Beeckman, H.","","","","Wood biology","","","2009","Rapport","no","","","","","","","","","","","","","","","1","","","NL","","Scientifique","","","http://www.africamuseum.be/publication_docs/expertise - Indufor massaranduba - 22 juni 2009.doc::accessrights:public access"
"A la recherche du sens du bwami. Au fil d'une collection lega pas comme les autres.","Baeke , V.","","","","Heritage studies","","","2009","pre-prints/ working papers","no","","","","","","","www.anthroposys.be","","","","","","","","","","","FR","","Scientifique","","",""
"A First look at GEOTRACES issues from the IPY BONUS GOODHOPE cruise in the Southern Ocean","Boyé, M.||Cardinal, D.||et al, .","","","","Surface environments and collection management","","","2009","Colloque et congrès scientifique","no","","","","","","","","","","","","Goldschmidt","","","","","","EN","","Scientifique","","",""
"The origin of Eoarchean silicification infered from coupled Si-O isotopes.","Abraham, K.||Cardinal, D.||Hofmann, A.||Foley, S.||André, L.","","","","Surface environments and collection management","","","2009","Colloque et congrès scientifique","no","","","","","","","","","","","","Goldschmidt","","","","","","EN","","Scientifique","","",""
"Tracing impact of banana culture in tropical basaltic ash soils using <span style="font-family: Symbol;">d</span><sup><span>30</span></sup><span>Si</span><span> and Ge/Si</span>","Opfergelt, S.||Cardinal, D.||André, L.||Delvigne, C.||Brémond, L.||Delvaux, B.","","","","Surface environments and collection management","","","2009","Colloque et congrès scientifique","no","","","","","","","","","","","","Silicon by the Sea - 3rd Workshop on the Aqueous Chemistry and Biochemistry of Silicon","","","","","","EN","","Scientifique","","",""
"The effect of land-use changes on silica transport through river basins","Van Damme, S.||Govers, G.||Struyf, E.||Van Wesemael, B.||Clymans, W.||Frot, E.||Cardinal, D.||Smis , A.||Meire, P.","","","","Surface environments and collection management","","","2009","Colloque et congrès scientifique","no","","","","","","","","","","","","ASLO Aquatic Science Meeting","","","","","","EN","","Scientifique","","",""
"Late summer mesopelagic carbon remineralization in the Atlantic sector of the Antarctic Circumpolar Current","Dehairs, F.||André, L.||Cardinal, D.","","","","Surface environments and collection management","","","2009","Colloque et congrès scientifique","no","","","","","","","","","","","","ASLO Aquatic Science Meeting","","","","","","EN","","Scientifique","","",""
"Seasonal variations of silicon isotopes in rivers : Impact of land-use and other biogeochemical processes.","Cardinal, D.||Carbonnel, V.||Chou, L.||Van Damme, S.||André, L.","","","","Surface environments and collection management","","","2009","Colloque et congrès scientifique","no","","","","","","","","","","","","ASLO Aquatic Science Meeting","","","","","","EN","","Scientifique","","",""
"An overview of the biogeochmical features of the Southern Ocean during the International Polar Year.","Boyé, M.||de Baar, H.J.||Bowie, A.R.||Bathmann, U.||Cardinal, D.||Murphy, E.||Tréguer, P.","","","","Surface environments and collection management","","","2009","Colloque et congrès scientifique","no","","","","","","","","","","","","ASLO Aquatic Science Meeting","","","","","","EN","","Scientifique","","",""
"Morphologic diversity and the roles of contingency, chance and determenism in African cichlid radiations","Young, K.||Snoeks, J.||Seehausen, O.","","","","Vertebrates","","","2009","Article scientifique peer reviewed","yes","","","","","","","","","","","","Plos One ","4 (3) e4740","","1-8","","","EN","","Scientifique","","",""
"Semantic Vagueness and Cross-linguistic Lexical Fragmentation in Bantu: Impeding Factors for Linguistic Palaeontology","Bostoen, K.","","Wilhelm J.G. Möhlig, Frank Seidel, Marc Seifert","","Culture & Society","","Rüdiger Köppe","2009","Article scientifique peer reviewed","yes","","","","","","","http://www.koeppe.de/katalog/katalog_detail.php?ISBN=978-3-89645-093-7","","","","","Sprache und Geschichte in Afrika","20; Language Contact, Language Change and History Based on Language Sources in Africa","","51-64","","","EN","","Scientifique","","","http://www.africamuseum.be/publication_docs/Bostoen 2009 SUGIA 20.pdf::accessrights:public access"
"Early Plant Cultivation in the Central African Rain Forest: First Millennium BC Pearl Millet from South Cameroon","Kahlheber, S.||Bostoen, K.||Neumann , K.","","","","Culture & Society","The Bantu expansion, a major topic in African archaeology and history, is widely assumed to correlate with the spread of farming, but archaeological data on the subsistence of these putative early Bantu speakers are very sparse. However, finds of domesticated pearl millet (Pennisetum glaucum) in southern Cameroonian archaeological sites, dated between 400 and 200 BC, open new perspectives on the history of agriculture in the  Central African rain forest.   Linguistic evidence suggests that pearl millet was part of early agricultural traditions of Bantu speakers,  and has to a great extent been distributed during the course of their expansion over large parts of western Bantu-speaking Africa, possibly even originally from their homeland in the Nigerian-Cameroonian borderland.   In combining archaeobotanical, palaeoenvironmental and linguistic data, we put forward the hypothesis that an agricultural system with pearl millet was brought into the rain forest during the first millennium BC, and that its pread across Central Africa coincided with the dispersal of certain Bantu language subgroups.","","2009","Article scientifique peer reviewed","yes","","","","","","","","","","","","Journal of African Archaeology","7, 2","","253-272","","","EN","","Scientifique","","",""
"Shanjo and Fwe as Part of Bantu Botatwe: A Diachronic Phonological Approach","Bostoen, K.","","Akinloye Ojo and Lioba Moshi","","Culture & Society","","Cascadilla Proceedings Project","2009","Partie douvrage peer reviewed","yes"," 978-1-57473-431-7","","","","","","","","","","","Selected Proceedings of the 39th Annual Conference on African Linguistics","","","110-130","","","EN","","Scientifique","","","http://www.africamuseum.be/publication_docs/Bostoen 2009 ACAL39.pdf::accessrights:public access"
"Complete mitochondrial DNA replacement in a Lake Tanganyika cichlid fish","Nevado, B.||Koblmüller, S.||Sturmbauer, C.||Snoeks, J.||Usano-Alemany, J.||Verheyen, E.","","","","Vertebrates","","","2009","Article scientifique peer reviewed","yes","","","","","","","","","","","","Molecular Ecology ","18 (20)","","4137-4340","","","EN","","Scientifique","","",""
"Lexique yoombe-français avec index français yoombe","De Grauwe, J.","","","","Culture & Society","","RMCA","2009","Ouvrage peer reviewed","yes","978-9-0747-5262-6","","","","","","","","","","","","vol. 1","","216","Tervuren Series for African Language Documentation and Description","","EN","","Scientifique","","",""
"Thèmes régionaux bantu et africanismes brésiliens","Maniacky, J.","","Margarida Petter & Ronald Beline Mendes","","Culture & Society","","Humanitas","2009","Partie douvrage peer reviewed","yes","978-85-7732-121-6","","","","","","","","","","","Proceedings of the Special World Congress of African Linguistics São Paulo 2008. Exploring the African Language Connection in the Americas","","","153-165","","","FR","","Scientifique","","",""
"Combating global warming by planting trees? Some case studies from tropical Africa","De Ridder, M.||Hubau, W.||Toirambe, B.||Dié, A.||Roobroeck, B.||Van de Velde, K.||Van Wonterghem, M.||Van Acker, J.||Beeckman, H.","","","","Wood biology","","Royal Academy of Overseas Sciences","2009","Colloque et congrès scientifique","no","","","","","","","","","","","","International Symposium Developing Countries facing Global Warming: a post-Kyoto assessment, 12/6/2009","","","32","","","EN","","Scientifique","","",""
"Houtnamen: sleutels tot houtkennis","Beeckman, H.","","","","Wood biology","","","2009","Article scientifique non peer reviewed","no","","","","","","","","","","","","HCTO Nieuws","50(2)","","10-12","","","EN","","Scientifique","","",""
"Réforme et désillusions.","Trefon, T.","","Trefon T.","","Geodynamics and mineral resources","","L'Harmattan/MRAC","2009","Partie douvrage peer reviewed","yes","978-2-296-10204-0","","","","","","","","","","","Réforme au Congo : Attentes et désillusions","n° 76","","15-34","Cahiers Africains","","FR","","Scientifique","","",""
"Hinges and fringes.  Conceptualizing the peri-urban in central Africa.","Trefon, T.","","Locatelli F. ; Nugent P.","","Geodynamics and mineral resources","","Brill","2009","Partie douvrage peer reviewed","yes","9789004162648","","","","","","","","","","","African cities : competing claims on urban space","","","15-36","","","EN","","Scientifique","","",""
"Public service provision in a failed state : looking beyond predation in the Democratic Republic of Congo.","Trefon, T.","","","","Geodynamics and mineral resources","","Routledge","2009","Article scientifique peer reviewed","yes","","0305-6244","","","","","","","","","","Review of African Political Economy","Vol. 36, n° 119","","9-21","","","EN","","Scientifique","","",""
"Carte de l'occupation du sol de la République Démocratique du Congo Province du Katanga ","Laghmouch, M.","","","","Natural hazards","","Musée royal de l'Afrique centrale","2009","Document carthographique","no","","","","","","","","","","","","","","","","1/1.000.000","","FR","","Scientifique","","",""
"Carte de l'occupation du sol de la République Démocratique du Congo -  Arc cuprifère du Katanga","Laghmouch, M.","","","","Natural hazards","","Musée royal de l'Afrique centrale","2009","Document carthographique","no","","","","","","","","","","","","","","","","1/500.000","","FR","","Scientifique","","",""
"Carte des parcs nationaux de Kundelungu et de l'Upemba - Katanga - RDC","Laghmouch, M.||Hasson, M.||Anastassiou, V.||Ngeleka, F.||Lowele, E.||Balonda, M.||Kalenga, WK.||Hardy, B.","","","","ICT||Natural hazards","","Musée royal de l'Afrique centrale","2009","Document carthographique","no","","","","","","","","","","","","","","","","1/350.000","","FR","","Scientifique","","",""
"Carte administrative et routière de la République Démocratique du Congo - Province du Maniema ","Laghmouch, M.||Kalonga, V.","","","","Natural hazards","","Musée royal de l'Afrique centrale","2009","Document carthographique","no","","","","","","","","","","","","","","","","1/750.000","","FR","","Scientifique","","",""
"Carte orographique et hydrographique - Provinve du Maniema","Laghmouch, M.","","","","Natural hazards","","Musée royal de l'Afrique centrale","2009","Document carthographique","no","","","","","","","","","","","","","","","","1/750.000","","FR","","Scientifique","","",""
" Carte géologique et minière - Province du Maniema ","Laghmouch, M.","","","","Natural hazards","","Musée royal de l'Afrique centrale","2009","Document carthographique","no","","","","","","","","","","","","","","","","1/750.000","","FR","","Scientifique","","",""
"Carte de l'occupation du sol - Province du Maniema","Laghmouch, M.","","","","Natural hazards","","Musée royal de l'Afrique centrale","2009","Document carthographique","no","","","","","","","","","","","","","","","","1/750.000","","FR","","Scientifique","","",""
"Carte administrative et routière de la République Démocratique du Congo - Province du Tanganyika","Laghmouch, M.||Kisonga, D.","","","","Natural hazards","","Musée royal de l'Afrique centrale","2009","Document carthographique","no","","","","","","","","","","","","","","","","1/750.000","","FR","","Scientifique","","",""
"Carte géologique et minière - province du Tanganyika","Laghmouch, M.","","","","Natural hazards","","Musée royal de l'Afrique centrale","2009","Document carthographique","no","","","","","","","","","","","","","","","","1/750.000","","FR","","Scientifique","","",""
"Carte de l'occupation du sol - Province du Tanganyika","Laghmouch, M.","","","","Natural hazards","","Musée royal de l'Afrique centrale","2009","Document carthographique","no","","","","","","","","","","","","","","","","1/750.000","","FR","","Scientifique","","",""
"Carte orographique et hydrographique - Province du Tanganyika","Laghmouch, M.","","","","Natural hazards","","Musée royal de l'Afrique centrale","2009","Document carthographique","no","","","","","","","","","","","","","","","","1/750.000","","FR","","Scientifique","","",""
"Carte administrative et routière de la République Démocratique du Congo - Province du Kasaï","Laghmouch, M.||Yindula Flungila, F.","","","","Natural hazards","","Musée royal de l'Afrique centrale","2009","Document carthographique","no","","","","","","","","","","","","","","","","1/750.000","","FR","","Scientifique","","",""
"Carte orographique et hydrographique - Province du Kasaï","Laghmouch, M.","","","","Natural hazards","","Musée royal de l'Afrique centrale","2009","Document carthographique","no","","","","","","","","","","","","","","","","1/750.000","","FR","","Scientifique","","",""
